"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"asc_pt",3.62990106384024,NA,NA,NA,NA
"asc_cs",0.873419456549303,NA,NA,NA,NA
"asc_rs",0,NA,NA,NA,NA
"b_tt",-2.14438832210922,NA,NA,NA,NA
"b_tt_shift",-3.63146130721435,NA,NA,NA,NA
"b_cost",-4.32045700236588,NA,NA,NA,NA
"b_cost_shift",-22.2954605226064,NA,NA,NA,NA
"b_trans",-0.344573874937442,NA,NA,NA,NA
"b_trans_shift",-0.568100583399238,NA,NA,NA,NA
"b_crowd",-4.87718529041855,NA,NA,NA,NA
"b_crowd_shift",-0.435974169231209,NA,NA,NA,NA
"b_disin",-0.00747729632190436,NA,NA,NA,NA
"b_disin_shift",-0.120897832785971,NA,NA,NA,NA
"b_share",0.111267847651168,NA,NA,NA,NA
"b_share_shift",-58.4856202213601,NA,NA,NA,NA
"b_pta",-0.643385256225818,NA,NA,NA,NA
"b_pta_shift",10.324362412363,NA,NA,NA,NA
"b_csa",-0.214864651880061,NA,NA,NA,NA
"b_csa_shift",10.2625548436745,NA,NA,NA,NA
"b_rsa",0,NA,NA,NA,NA
"b_rsa_shift",0,NA,NA,NA,NA
"ce",0.926835595785475,NA,NA,NA,NA
"ce_shift",3.84843311104711,NA,NA,NA,NA
"delta_a",-6.72114521369954,NA,NA,NA,NA
"g_mod_a",0.532510465446512,NA,NA,NA,NA
"g_off_a",-0.972781912055298,NA,NA,NA,NA
"g_hou_a",0.402031006082001,NA,NA,NA,NA
"g_att1_a",0.0883664590781329,NA,NA,NA,NA
"g_att2_a",1.28443140429268,NA,NA,NA,NA
"g_csrs_a",2.09614609013616,NA,NA,NA,NA
"g_pcar_a",0.539243219016143,NA,NA,NA,NA
