"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"asc_pt",3.72350793557965,NA,NA,NA,NA
"asc_cs",1.27149910247905,NA,NA,NA,NA
"asc_rs",0,NA,NA,NA,NA
"b_tt",-0.0666148347599422,NA,NA,NA,NA
"b_tt_shift",-0.000339567008265785,NA,NA,NA,NA
"b_tt_shift2",-4.15994766774451,NA,NA,NA,NA
"b_tt_shift3",-3.44924305941922,NA,NA,NA,NA
"b_cost",-36.1096864359693,NA,NA,NA,NA
"b_cost_shift",-4.10350324767113,NA,NA,NA,NA
"b_cost_shift2",-9.52489011721038,NA,NA,NA,NA
"b_cost_shift3",-5.61872125471251,NA,NA,NA,NA
"b_trans",-1.19934521827718,NA,NA,NA,NA
"b_trans_shift",-1.80626401850704,NA,NA,NA,NA
"b_trans_shift2",4.19585169061726,NA,NA,NA,NA
"b_trans_shift3",0.681373266921391,NA,NA,NA,NA
"b_crowd",130.958611604179,NA,NA,NA,NA
"b_crowd_shift",-1.17853186622579,NA,NA,NA,NA
"b_crowd_shift2",-27.7224395617886,NA,NA,NA,NA
"b_crowd_shift3",-1.68863558657132,NA,NA,NA,NA
"b_disin",0.103583171032107,NA,NA,NA,NA
"b_disin_shift",0.881658864274051,NA,NA,NA,NA
"b_disin_shift2",0.257508097396678,NA,NA,NA,NA
"b_disin_shift3",-0.44493862472812,NA,NA,NA,NA
"b_share",-9301.04427402621,NA,NA,NA,NA
"b_share_shift",14350.2431308186,NA,NA,NA,NA
"b_share_shift2",0.65268891825531,NA,NA,NA,NA
"b_share_shift3",-1.04643381373198,NA,NA,NA,NA
"b_pta",37.5972952391928,NA,NA,NA,NA
"b_pta_shift",-1.03931409939995,NA,NA,NA,NA
"b_pta_shift2",0.415527190404742,NA,NA,NA,NA
"b_pta_shift3",-0.795294800888097,NA,NA,NA,NA
"b_csa",37.4296834373327,NA,NA,NA,NA
"b_csa_shift",-0.831877858569674,NA,NA,NA,NA
"b_csa_shift2",-0.360122144258485,NA,NA,NA,NA
"b_csa_shift3",-0.0566488284285157,NA,NA,NA,NA
"b_rsa",0,NA,NA,NA,NA
"b_rsa_shift",0,NA,NA,NA,NA
"b_rsa_shift2",0,NA,NA,NA,NA
"b_rsa_shift3",0,NA,NA,NA,NA
"delta_b",-1.34438155240743,NA,NA,NA,NA
"delta_c",-0.709887001223454,NA,NA,NA,NA
"delta_d",-0.556936260127594,NA,NA,NA,NA
