"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"asc_pt",3.53145906216782,NA,NA,NA,NA
"asc_cs",1.01107039379051,NA,NA,NA,NA
"asc_rs",0,NA,NA,NA,NA
"b_tt",-0.496392735608675,NA,NA,NA,NA
"b_tt_shift",0.496433219571267,NA,NA,NA,NA
"b_cost",-0.0717788629508114,NA,NA,NA,NA
"b_cost_shift",-26.1453581869545,NA,NA,NA,NA
"b_trans",-0.297788169708067,NA,NA,NA,NA
"b_trans_shift",-0.727769653403192,NA,NA,NA,NA
"b_crowd",-5.33294041012735,NA,NA,NA,NA
"b_crowd_shift",4.20103841085481,NA,NA,NA,NA
"b_disin",-0.0745482282515367,NA,NA,NA,NA
"b_disin_shift",0.0910471287739099,NA,NA,NA,NA
"b_share",-2.56539719346149,NA,NA,NA,NA
"b_share_shift",-128367.474587582,NA,NA,NA,NA
"b_pta",-0.531574640629571,NA,NA,NA,NA
"b_pta_shift",0.300141429172046,NA,NA,NA,NA
"b_csa",-0.183560048185505,NA,NA,NA,NA
"b_csa_shift",0.0201134106946075,NA,NA,NA,NA
"b_rsa",0,NA,NA,NA,NA
"b_rsa_shift",0,NA,NA,NA,NA
"ce",15.9156290918844,NA,NA,NA,NA
"ce_shift",-17.7511867690261,NA,NA,NA,NA
"delta_b",0.104371730934377,NA,NA,NA,NA
